Disease,OrphaCode,Query,Count
Hereditary sensory and autonomic neuropathy type 6,314381,,0
Xq12-q13.3 duplication syndrome,314389,,0
7p22.1 microduplication syndrome,314034,,0
Marfanoid habitus-inguinal hernia-advanced bone age syndrome,314041,,0
Leukoencephalopathy-thalamus and brainstem anomalies-high lactate syndrome,314051,,0
Sporadic hyperekplexia,306776,,0
Manganese poisoning,306682,,0
Kufor-Rakeb syndrome,306674,,0
Hemiparkinsonism-hemiatrophy syndrome,306669,,0
Cyanide-induced parkinsonism-dystonia,306692,,0
Delayed encephalopathy due to carbon monoxide poisoning,306686,,0
Hemidystonia-hemiatrophy syndrome,306741,,0
"Primary dystonia, DYT21 type",306734,,0
Sydenham chorea,306731,,0
Methylcobalamin deficiency type cblDv1,308380,,0
Sulfite oxidase deficiency due to molybdenum cofactor deficiency type A,308386,,0
Sulfite oxidase deficiency due to molybdenum cofactor deficiency type B,308393,,0
Sulfite oxidase deficiency due to molybdenum cofactor deficiency type C,308400,,0
Autism-epilepsy syndrome due to branched chain ketoacid dehydrogenase kinase deficiency,308410,,0
Methylmalonic acidemia due to methylmalonyl-CoA epimerase deficiency,308425,,0
Curly hair-acral keratoderma-caries syndrome,307766,,0
Hypotrichosis-osteolysis-periodontitis-palmoplantar keratoderma syndrome,307936,,0
Focal acral hyperkeratosis,308013,,0
"Glycogen storage disease due to glycogen branching enzyme deficiency, childhood neuromuscular form",308698,,0
"Glycogen storage disease due to glycogen branching enzyme deficiency, adult neuromuscular form",308712,,0
"Glycogen storage disease due to glycogen branching enzyme deficiency, congenital neuromuscular form",308670,,0
"Glycogen storage disease due to glycogen branching enzyme deficiency, childhood combined hepatic and myopathic form",308684,,0
Combined pancreatic lipase-colipase deficiency,309111,,0
Pancreatic triacylglycerol lipase deficiency,309031,,0
Pancreatic colipase deficiency,309108,,0
Familial lipoprotein lipase deficiency,309015,,0
Familial apolipoprotein C-II deficiency,309020,,0
Generalized galactose epimerase deficiency,308487,,0
Chordoma,178,,0
Erythrocyte galactose epimerase deficiency,308473,,0
Microcephalic osteodysplastic primordial dwarfism type II,2637,primordial+dwarfism+(%22type+ii%22+OR+%22type+2%22)+OR+%22MOPD+II+%22,463
Macrophagic myofasciitis,592,Macrophagic%5BAll+Fields%5D+AND+myofasciitis%5BAll+Fields%5D,115
"Vitamin B12-responsive methylmalonic acidemia, type cblDv2",308442,,0
"Glycogen storage disease due to glycogen branching enzyme deficiency, fatal perinatal neuromuscular form",308655,,0
"Glycogen storage disease due to glycogen branching enzyme deficiency, non progressive hepatic form",308638,,0
"Glycogen storage disease due to glycogen branching enzyme deficiency, progressive hepatic form",308621,,0
"Glycogen storage disease due to acid maltase deficiency, infantile onset",308552,,0
"Metachromatic leukodystrophy, adult form",309271,,0
"Alpha-mannosidosis, infantile form",309282,,0
"Alpha-mannosidosis, adult form",309288,,0
"GM2 gangliosidosis, AB variant",309246,,0
Atypical Gaucher disease due to saposin C deficiency,309252,,0
"Metachromatic leukodystrophy, late infantile form",309256,,0
"Metachromatic leukodystrophy, juvenile form",309263,,0
"Free sialic acid storage disease, infantile form",309324,,0
Intermediate severe Salla disease,309331,,0
Salla disease,309334,,0
Mucopolysaccharidosis type 4A,309297,,0
Mucopolysaccharidosis type 4B,309310,,0
Hyper-beta-alaninemia,309147,,0
"Tay-Sachs disease, B variant, juvenile form",309185,,0
"Tay-Sachs disease, B variant, infantile form",309178,,0
"Tay-Sachs disease, B1 variant",309239,,0
"Tay-Sachs disease, B variant, adult form",309192,,0
"Sandhoff disease, infantile form",309155,,0
"Sandhoff disease, adult form",309169,,0
"Sandhoff disease, juvenile form",309162,,0
Autosomal recessive infantile hypercalcemia,300547,,0
Follicular cholangitis and pancreatitis,300552,,0
Carcinoma of the ampulla of Vater,300557,,0
Combined pulmonary fibrosis-emphysema syndrome,300564,,0
Cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation,300570,,0
Polymicrogyria due to TUBB2B mutation,300573,,0
Oligodontia-cancer predisposition syndrome,300576,,0
Multiple congenital anomalies-hypotonia-seizures syndrome type 2,300496,,0
Painful orbital and systemic neurofibromas-marfanoid habitus syndrome,300501,,0
Onychocytic matricoma,300504,,0
Onychomatricoma,300512,,0
Pseudohypoaldosteronism type 2D,300525,,0
Pseudohypoaldosteronism type 2E,300530,,0
DDOST-CDG,300536,,0
Diffuse large B-cell lymphoma of the central nervous system,300849,,0
Primary cutaneous anaplastic large cell lymphoma,300865,,0
T-cell/histiocyte rich large B cell lymphoma,300857,,0
Hairy cell leukemia variant,300878,,0
Splenic diffuse red pulp small B-cell lymphoma,300869,,0
ALK-positive anaplastic large cell lymphoma,300895,,0
Diffuse large B-cell lymphoma with chronic inflammation,300888,,0
Juvenile amyotrophic lateral sclerosis,300605,,0
Familial dilated cardiomyopathy with conduction defect due to LMNA mutation,300751,,0
ALK-negative anaplastic large cell lymphoma,300903,,0
Adult-onset immunodeficiency with anti-interferon-gamma autoantibodies,306431,,0
FADD-related immunodeficiency,306550,,0
Myospherulosis,306553,,0
Frontonasal dysplasia-severe microphthalmia-severe facial clefting syndrome,306542,,0
Porencephaly-microcephaly-bilateral congenital cataract syndrome,306547,,0
Congenital hereditary facial paralysis-variable hearing loss syndrome,306530,,0
Isolated hereditary congenital facial paralysis,306527,,0
LAMB2-related infantile-onset nephrotic syndrome,306507,,0
Autosomal recessive spastic paraplegia type 48,306511,,0
Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome,306504,,0
Familial hyperphosphatemic tumoral calcinosis/Hyperphosphatemic hyperostosis syndrome,306661,,0
Familial normophosphatemic tumoral calcinosis,306658,,0
Complication after organ transplantation,306644,,0
X-linked complicated spastic paraplegia type 1,306617,,0
Sodium channelopathy-related small fiber neuropathy,306577,,0
Primary microcephaly-epilepsy-permanent neonatal diabetes syndrome,306558,,0
Zygodactyly type 1,295187,,0
Zygodactyly type 4,295193,,0
Synpolydactyly type 1,295195,,0
Zygodactyly type 2,295189,,0
Zygodactyly type 3,295191,,0
"Congenital vertical talus, unilateral",295201,,0
"Congenital vertical talus, bilateral",295203,,0
Synpolydactyly type 2,295197,,0
Synpolydactyly type 3,295199,,0
"Radio-ulnar synostosis, unilateral",295217,,0
"Radio-ulnar synostosis, bilateral",295219,,0
"Humero-ulnar synostosis, unilateral",295213,,0
"Humero-ulnar synostosis, bilateral",295215,,0
Congenital genu flexum,295232,,0
Congenital genu recurvatum,295229,,0
"Congenital elbow dislocation, bilateral",295227,,0
"Congenital elbow dislocation, unilateral",295225,,0
"Macrodactyly of fingers, bilateral",295241,,0
"Macrodactyly of fingers, unilateral",295239,,0
"Macrodactyly of toes, bilateral",295245,,0
"Macrodactyly of toes, unilateral",295243,,0
Kyphoscoliotic Ehlers-Danlos syndrome due to FKBP22 deficiency,300179,,0
Charcot-Marie-Tooth disease type 2P,300319,,0
Persistent polyclonal B-cell lymphocytosis,300324,,0
Congenital cataract-hearing loss-severe developmental delay syndrome,300313,,0
Severe congenital hypochromic anemia with ringed sideroblasts,300298,,0
11p15.4 microduplication syndrome,300305,,0
Connective tissue disorder due to lysyl hydroxylase-3 deficiency,300284,,0
Transient infantile hypertriglyceridemia and hepatosteatosis,300293,,0
Pituitary carcinoma,300385,,0
Sagliker syndrome,300493,,0
X-linked acrogigantism,300373,,0
Progeroid and marfanoid aspect-lipodystrophy syndrome,300382,,0
Autosomal systemic lupus erythematosus,300345,,0
PLCG2-associated antibody deficiency and immune dysregulation,300359,,0
Nephrotic syndrome-epidermolysis bullosa-sensorineural deafness syndrome,300333,,0
Fever-associated acute infantile liver failure syndrome,464724,,0
Basel-Vanagaite-Smirin-Yosef syndrome,464738,,0
Familial cavitary optic disc anomaly,464760,,0
Familial gastric type 1 neuroendocrine tumor,464756,,0
Symptomatic form of hemochromatosis type 1,465508,,0
Spastic paraplegia-severe developmental delay-epilepsy syndrome,464282,,0
Short stature-brachydactyly-obesity-global developmental delay syndrome,464288,,0
DYRK1A-related intellectual disability syndrome,464306,,0
Kaposiform lymphangiomatosis,464329,,0
Multifocal lymphangioendotheliomatosis-thrombocytopenia syndrome,464321,,0
Verrucous hemangioma,464318,,0
Intellectual disability syndrome due to a DYRK1A point mutation,464311,,0
NEK9-related lethal skeletal dysplasia,464366,,0
Benign metanephric tumor,464359,,0
Catastrophic antiphospholipid syndrome,464343,,0
BENTA disease,464336,,0
Acquired methemoglobinemia,464453,,0
COG6-CGD,464443,,0
"Primary dystonia, DYT27 type",464440,,0
Neonatal alloimmune neutropenia,464370,,0
Paracetamol poisoning,464458,,0
Polyneuropathy associated with IgM monoclonal gammapathy with anti-MAG,639,,0
Yellow nail syndrome,662,Yellow+nail+syndrome%5Bti%5D+OR+(Yellow+nail+syndrome%5Btw%5D+(nail+diseases+OR+lymphedema)),343
Toxic epidermal necrolysis,537,,0
SAPHO syndrome,793,%22acquired+hyperostosis+syndrome%22%5Bmajr%5D+OR+SAPHO+syndrome%5Bti%5D,578
1p35.2 microdeletion syndrome,456298,,0
X-linked myotubular myopathy-abnormal genitalia syndrome,456328,,0
Hereditary neuroendocrine tumor of small intestine,456333,,0
Infantile multisystem neurologic-endocrine-pancreatic disease,456312,,0
Hereditary sensory neuropathy-deafness-dementia syndrome,456318,,0
NTHL1-related attenuated familial adenomatous polyposis,454840,,0
Acute radiation syndrome,454831,,0
Avian influenza,454836,,0
Corticobasal syndrome,454887,,0
Variably protease-sensitive prionopathy,454742,,0
Endometrioid carcinoma of ovary,454723,,0
Holmes-Adie syndrome,454718,,0
Plasma cell leukemia,454714,,0
Pleomorphic salivary gland adenoma,454821,,0
Isolated tracheoesophageal fistula,454750,,0
Kuru,454745,,0
Polyendocrine-polyneuropathy syndrome,453533,,0
Autosomal recessive cerebellar ataxia due to CWF19L1 deficiency,453521,,0
Anti-p200 pemphigoid,454710,,0
Progressive muscular atrophy,454706,,0
Primary cutaneous plasmacytosis,451602,,0
Cutaneous pseudolymphoma,451607,,0
Familial congenital nasolacrimal duct obstruction,451612,,0
Neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-skeletal anomalies syndrome,453499,,0
Neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-skeletal anomalies syndrome due to a point mutation,453504,,0
Congenital insensitivity to pain with severe intellectual disability,453510,,0
Polyclonal hyperviscosity syndrome,450322,,0
Eosinophilic angiocentric fibrosis,449566,,0
IgG4-related ophthalmic disease,449563,,0
Susceptibility to infection in immunocompromised patient,449306,,0
Symptomatic form of fragile X syndrome in female carrier,449291,,0
IgG4-related aortitis,449400,,0
IgG4-related kidney disease,449395,,0
IgG4-related submandibular gland disease,449432,,0
IgG4-related pachymeningitis,449427,,0
Scedosporiosis,449280,,0
Snakebite envenomation,449285,,0
Pleural empyema,449266,,0
Isolated focal non-epidermolytic palmoplantar keratoderma,448264,,0
Progressive autosomal recessive ataxia-deafness syndrome,448251,,0
Ectopia cordis,448270,,0
Regressive spondylometaphyseal dysplasia,448267,,0
CAD-CDG,448010,,0
Spastic tetraplegia-thin corpus callosum-progressive postnatal microcephaly syndrome,447997,,0
Autosomal recessive brachyolmia,448242,,0
Zika virus disease,448237,,0
Progressive scapulohumeroperoneal distal myopathy,447977,,0
Klippel-Feil anomaly-myopathy-facial dysmorphism syndrome,447974,,0
19p13.3 microduplication syndrome,447980,,0
Combined oxidative phosphorylation defect type 25,447954,,0
Autosomal dominant Charcot-Marie-Tooth disease type 2V,447964,,0
Pigmentation defects-palmoplantar keratoderma-skin carcinoma syndrome,447961,,0
C1 inhibitor deficiency,459353,,0
Ataxia-oculomotor apraxia type 4,459033,,0
"Spondyloepiphyseal dysplasia, Stanescu type",459051,,0
Craniofacial dysplasia-short stature-ectodermal anomalies-intellectual disability syndrome,459061,,0
Autosomal recessive spastic paraplegia type 75,459056,,0
Corpus callosum agenesis-macrocephaly-hypertelorism syndrome,459074,,0
X-linked intellectual disability-cerebellar hypoplasia-spondylo-epiphyseal dysplasia syndrome,459070,,0
Idiopathic spontaneous coronary artery dissection,458718,,0
Composite hemangioendothelioma,458758,,0
Retiform hemangioendothelioma,458763,,0
Primary intralymphatic angioendothelioma,458768,,0
Partially involuting congenital hemangioma,458785,,0
Mixed cystic lymphatic malformation,458792,,0
Spinocerebellar ataxia type 41,458798,,0
Spinocerebellar ataxia type 42,458803,,0
Macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome,457485,,0
Progressive myoclonic epilepsy type 9,457265,,0
Intellectual disability-macrocephaly-hypotonia-behavioral abnormalities syndrome,457279,,0
Squamous cell carcinoma of the oral tongue,457252,,0
X-linked intellectual disability-hypotonia-movement disorder syndrome,457260,,0
X-linked intellectual disability-short stature-overweight syndrome,457240,,0
Clear cell sarcoma of kidney,457246,,0
Progressive spondyloepimetaphyseal dysplasia-short stature-short fourth metatarsals-intellectual disability syndrome,457395,,0
Multiple mitochondrial dysfunctions syndrome type 4,457406,,0
ITPA-related lethal infantile neurological disorder with cataract and cardiac involvement,457375,,0
Complex lethal osteochondrodysplasia,457378,,0
Megalencephaly-severe kyphoscoliosis-overgrowth syndrome,457359,,0
Intellectual disability-muscle weakness-short stature-facial dysmorphism syndrome,457365,,0
Microcephaly-corpus callosum hypoplasia-intellectual disability-facial dysmorphism syndrome,457284,,0
Microcephaly-intellectual disability-sensorineural hearing loss-epilepsy-abnormal muscle tone syndrome,457351,,0
Neonatal encephalomyopathy-cardiomyopathy-respiratory distress syndrome,457185,,0
Isolated splenogonadal fusion,457083,,0
TAFRO syndrome,457077,,0
Actinomycosis,457095,,0
Predisposition to invasive fungal disease due to CARD9 deficiency,457088,,0
Syndromic sensorineural deafness due to combined oxidative phosphorylation defect,457223,,0
Progressive essential tremor-speech impairment-facial dysmorphism-intellectual disability-abnormal behavior syndrome,457212,,0
Autosomal dominant intellectual disability-craniofacial anomalies-cardiac defects syndrome,457193,,0
Infantile-onset axonal motor and sensory neuropathy-optic atrophy-neurodegenerative syndrome,457205,,0
Polyglucosan body myopathy type 2,456369,,0
Autosomal dominant mitochondrial myopathy with exercise intolerance,457050,,0
Erythrokeratodermia variabilis,317,,0
Short stature due to growth hormone qualitative anomaly,629,,0
Short stature due to isolated growth hormone deficiency with X-linked hypogammaglobulinemia,632,,0
Autosomal recessive hypohidrotic ectodermal dysplasia,248,ectodermal+dysplasia+%28anhidrotic%5Btw%5D+OR+hypohidrotic%5Btw%5D%29+recessive+NOT+%28x+linked%5Btw%5D%29,66
Autosomal dominant hypohidrotic ectodermal dysplasia,1810,,0
Vogt-Koyanagi-Harada disease,3437,,0
Idiopathic pulmonary fibrosis,2032,Pulmonary+fibrosis%5Bti%5D+idiopathic%5Bti%5D,4693
Bronchiolitis obliterans with obstructive pulmonary disease,1303,,0
Tracheobronchopathia osteochondroplastica,3348,%28Tracheobronchopathia+OR+Tracheopathia%29+%28osteochondroplastica+OR+osteoplastica%29,308
Idiopathic chronic eosinophilic pneumonia,2902,%28Eosinophilic+pneumonia%5Bti%5D+OR+Pulmonary+Eosinophilia%5Bmh%5D%29+%28chronic+OR+idiopathic%29+OR+Carrington%27s+disease+NOT+acute%5Bti%5D,744
Cryptogenic organizing pneumonia,1302,Cryptogenic+organizing+pneumonia%5Bti%5D+OR+Bronchiolitis+Obliterans+Organizing+Pneumonia%5Bmajr%5D,903
Occipital horn syndrome,198,%22Occipital+horn+syndrome%22+OR+(cutis+laxa%2Fge+(chromosome+X+OR+ATP7A)),91
Familial exudative vitreoretinopathy,891,,0
Maternally-inherited diabetes and deafness,225,diabetes+(hearing+loss%5Bmh%5D+OR+deafness%5BTi%5D)+(mitochondr*%5Bti%5D+OR+maternal*%5Bti%5D),293
Scorpion envenomation,466677,,0
Euthyroid Graves orbitopathy,466682,,0
Severe intellectual disability-corpus callosum agenesis-facial dysmorphism-cerebellar ataxia syndrome,466688,,0
Supratip dysplasia,466695,,0
Cyanide poisoning,466670,,0
Exercise-induced malignant hyperthermia,466650,,0
SMARCA4-deficient sarcoma of thorax,466962,,0
Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to WAC point mutation,466950,,0
WAC-related facial dysmorphism-developmental delay-behavioral abnormalities syndrome,466943,,0
Seizures-scoliosis-macrocephaly syndrome,466926,,0
VPS11-related autosomal recessive hypomyelinating leukodystrophy,466934,,0
Childhood-onset progressive contractures-limb-girdle weakness-muscle dystrophy syndrome,466921,,0
Autosomal dominant thrombocytopenia with platelet secretion defect,466806,,0
LIMS2-related limb-girdle muscular dystrophy,466801,,0
Acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome,466794,,0
Macrocephaly-intellectual disability-left ventricular non compaction syndrome,466791,,0
Neonatal severe cardiopulmonary failure due to mitochondrial methylation defect,466784,,0
Autosomal recessive Charcot-Marie-Tooth disease type 2X,466775,,0
Autosomal dominant Charcot-Marie-Tooth disease type 2Z,466768,,0
Familial patent arterial duct,466729,,0
Autosomal recessive spastic paraplegia type 77,466722,,0
Martinique crinkled retinal pigment epitheliopathy,466718,,0
TMEM199-CDG,466703,,0
Fetal encasement syndrome,465824,,0
Class I glucose-6-phosphate dehydrogenase deficiency,466026,,0
Intellectual disability-epilepsy-extrapyramidal syndrome,468620,,0
Microcephalic cortical malformations-short stature due to RTTN deficiency,468631,,0
Tubulinopathy-associated dysgyria,467166,,0
Severe hypotonia-psychomotor developmental delay-strabismus-cardiac septal defect syndrome,467176,,0
Cryptogenic multifocal ulcerous stenosing enteritis,468635,,0
Chronic enteropathy associated with SLCO2A1 gene,468641,,0
Autosomal recessive spastic paraplegia type 74,468661,,0
Isolated generalized anhidrosis with normal sweat glands,468666,,0
White-Sutton syndrome,468678,,0
CCDC115-CDG,468684,,0
Colobomatous macrophthalmia-microcornea syndrome,468672,,0
Severe primary trimethylaminuria,468726,,0
SLC39A8-CDG,468699,,0
Rhizomelic chondrodysplasia punctata type 5,468717,,0
Autosomal recessive spastic paraplegia type 62,401785,,0
Autosomal recessive spastic paraplegia type 61,401780,,0
Autosomal recessive spastic paraplegia type 60,401800,,0
Autosomal recessive spastic paraplegia type 59,401795,,0
Proximal myopathy with extrapyramidal signs,401768,,0
Pancytopenia-developmental delay syndrome,401764,,0
Optic atrophy-intellectual disability syndrome,401777,,0
Autosomal recessive spastic paraplegia type 68,401825,,0
Autosomal recessive spastic paraplegia type 69,401830,,0
Autosomal recessive spastic paraplegia type 70,401835,,0
Autosomal recessive spastic paraplegia type 71,401840,,0
Autosomal recessive spastic paraplegia type 63,401805,,0
Autosomal recessive spastic paraplegia type 64,401810,,0
Autosomal recessive spastic paraplegia type 66,401815,,0
Autosomal recessive spastic paraplegia type 67,401820,,0
Childhood-onset spasticity with hyperglycinemia,401866,,0
Multiple mitochondrial dysfunctions syndrome type 1,401869,,0
Multiple mitochondrial dysfunctions syndrome type 2,401874,,0
Autosomal spastic paraplegia type 72,401849,,0
Lipoic acid synthetase deficiency,401859,,0
Lipoyl transferase 1 deficiency,401862,,0
Hepatitis delta,402823,,0
Fibrolamellar hepatocellular carcinoma,401920,,0
AXIN2-related attenuated familial adenomatous polyposis,401911,,0
Huntington disease-like syndrome due to C9ORF72 expansions,401901,,0
Familial median cleft of the upper and lower lips,401942,,0
14q24.1q24.3 microdeletion syndrome,401935,,0
9q31.1q31.3 microdeletion syndrome,401923,,0
Partial corpus callosum agenesis-cerebellar vermis hypoplasia with posterior fossa cysts syndrome,401959,,0
Episodic ataxia with slurred speech,401953,,0
Hyperammonemic encephalopathy due to carbonic anhydrase VA deficiency,401948,,0
Moyamoya disease with early-onset achalasia,401945,,0
1p31p32 microdeletion syndrome,401986,,0
"Autosomal recessive spondylometaphyseal dysplasia, Mégarbané type",401979,,0
MEND syndrome,401973,,0
Autosomal dominant Charcot-Marie-Tooth disease type 2 with giant axons,401964,,0
Autosomal dominant focal non-epidermolytic palmoplantar keratoderma with plantar blistering,402003,,0
Karyomegalic interstitial nephritis,401996,,0
Acute myeloid leukemia with t(9;11)(p22;q23),402017,,0
Acute myeloid leukemia with inv(3)(q21q26.2) or t(3;3)(q21;q26.2),402020,,0
Acute myeloid leukemia with t(6;9)(p23;q34),402014,,0
Eosinophilic colitis,402035,,0
Megakaryoblastic acute myeloid leukemia with t(1;22)(p13;q13),402023,,0
Acute myeloid leukemia with NPM1 somatic mutations,402026,,0
Progressive myoclonic epilepsy type 5,402082,,0
Infantile cerebral and cerebellar atrophy with postnatal progressive microcephaly,402364,,0
Autosomal recessive distal renal tubular acidosis,402041,,0
Familial bicuspid aortic valve,402075,,0
Scott syndrome,806,blood+coagulation+disorders%5Bmajr%5D+AND+scott%5Bti%5D,27
Severe intellectual disability-progressive spastic diplegia syndrome,404473,,0
Multisystemic smooth muscle dysfunction syndrome,404463,,0
Female infertility due to zona pellucida defect,404466,,0
FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome,404451,,0
Alacrimia-choreoathetosis-liver dysfunction syndrome,404454,,0
Tatton-Brown-Rahman syndrome,404443,,0
ADNP syndrome,404448,,0
Diffuse cerebral and cerebellar atrophy-intractable seizures-progressive microcephaly syndrome,404437,,0
Intellectual disability-facial dysmorphism syndrome due to SETD5 haploinsufficiency,404440,,0
Familial atypical multiple mole melanoma syndrome,404560,,0
Vasculitis due to ADA2 deficiency,404553,,0
DITRA,404546,,0
Spinal muscular atrophy with respiratory distress type 2,404521,,0
Acquired cystic disease-associated renal cell carcinoma,404514,,0
Clear cell papillary renal cell carcinoma,404511,,0
Chondromyxoid fibroma,404507,,0
Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to RUBCN deficiency,404499,,0
Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to TUD deficiency,404493,,0
Global developmental delay-lung cysts-overgrowth-Wilms tumor syndrome,404476,,0
Central retinal vein occlusion,411527,,0
Mild phosphoribosylpyrophosphate synthetase superactivity,411536,,0
Severe phosphoribosylpyrophosphate synthetase superactivity,411543,,0
Wolfram-like syndrome,411590,,0
Insulin autoimmune syndrome,411593,,0
Hereditary late-onset Parkinson disease,411602,,0
Infantile nephropathic cystinosis,411629,,0
Pontocerebellar hypoplasia type 10,411493,,0
Williams-Campbell syndrome,411501,,0
Angelman syndrome due to a point mutation,411511,,0
Angelman syndrome due to imprinting defect in 15q11-q13,411515,,0
Generalized eruptive keratoacanthoma,411777,,0
Maternal riboflavin deficiency,411712,,0
Familial isolated trichomegaly,411788,,0
Early-onset epileptic encephalopathy-cortical blindness-intellectual disability-facial dysmorphism syndrome,411986,,0
13q12.3 microdeletion syndrome,412035,,0
Facial dysmorphism-lens dislocation-anterior segment abnormalities-spontaneous filtering blebs syndrome,412022,,0
Ocular cystinosis,411641,,0
Juvenile nephropathic cystinosis,411634,,0
Proton-pump inhibitor-responsive esophageal eosinophilia,411696,,0
Renal agenesis,411709,,0
Pulmonary non-tuberculous mycobacterial infection,411703,,0
Multicentric osteolysis-nodulosis-arthropathy spectrum,371428,,0
Hypotonia-speech impairment-severe cognitive delay syndrome,371364,,0
Necrotizing enterocolitis,391673,,0
Short stature-optic atrophy-Pelger-Huët anomaly syndrome,391677,,0
Mucinous adenocarcinoma of the appendix,391723,,0
Frontorhiny,391474,,0
Transient neonatal myasthenia gravis,391504,,0
Juvenile myasthenia gravis,391497,,0
Adult-onset myasthenia gravis,391490,,0
Autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome,391487,,0
Feingold syndrome type 2,391646,,0
Feingold syndrome type 1,391641,,0
Homozygous familial hypercholesterolemia,391665,,0
Off-periods in Parkinson disease not responding to oral treatment,391655,,0
Glomus tumor,391651,,0
Fatal post-viral neurodegenerative disorder,391343,,0
Growth and developmental delay-hypotonia-vision impairment-lactic acidosis syndrome,391348,,0
SURF1-related Charcot-Marie-Tooth disease type 4,391351,,0
Growth retardation-mild developmental delay-chronic hepatitis syndrome,391366,,0
Intellectual disability-severe speech delay-mild dysmorphism syndrome,391372,,0
Congenital microcephaly-severe encephalopathy-progressive cerebral atrophy syndrome,391376,,0
Familial episodic pain syndrome,391384,,0
Familial episodic pain syndrome with predominantly upper body involvement,391389,,0
Familial episodic pain syndrome with predominantly lower limb involvement,391392,,0
Hereditary sensory and autonomic neuropathy type 7,391397,,0
Primary microcephaly-mild intellectual disability-young-onset diabetes syndrome,391408,,0
Atypical juvenile parkinsonism,391411,,0
HSD10 disease,391417,,0
"HSD10 disease, infantile type",391428,,0
"HSD10 disease, neonatal type",391457,,0
Severe intellectual disability-short stature-behavioral abnormalities-facial dysmorphism syndrome,391307,,0
Infantile-onset mesial temporal lobe epilepsy with severe cognitive regression,391316,,0
Susceptibility to viral and mycobacterial infections due to STAT1 deficiency,391311,,0
X-linked calvarial hyperostosis,391327,,0
East Texas bleeding disorder,391320,,0
X-linked osteoporosis with fractures,391330,,0
Refractory celiac disease,398063,,0
Squamous cell carcinoma of the penis,398058,,0
Adenocarcinoma of the penis,398053,,0
Intellectual disability-obesity-prognathism-eye and skin anomalies syndrome,397973,,0
Charcot-Marie-Tooth disease type 2R,397968,,0
Combined immunodeficiency due to MALT1 deficiency,397964,,0
TCR-alpha-beta-positive T-cell deficiency,397959,,0
Microcephaly-thin corpus callosum-intellectual disability syndrome,397951,,0
Autosomal spastic paraplegia type 58,397946,,0
MAN1B1-CDG,397941,,0
Polyglucosan body myopathy type 1,397937,,0
Severe intellectual disability-progressive postnatal microcephaly-midline stereotypic hand movements syndrome,397933,,0
Sacral agenesis-abnormal ossification of the vertebral bodies-persistent notochordal canal syndrome,397927,,0
Ferro-cerebro-cutaneous syndrome,397922,,0
Severe combined immunodeficiency due to IKK2 deficiency,397787,,0
Periodic paralysis with transient compartment-like syndrome,397755,,0
Retinal dystrophy with inner retinal dysfunction and ganglion cell anomalies,397758,,0
Peripheral neuropathy-myopathy-hoarseness-hearing loss syndrome,397744,,0
Periodic paralysis with later-onset distal motor neuropathy,397750,,0
COASY protein-associated neurodegeneration,397725,,0
Autosomal dominant Charcot-Marie-Tooth disease type 2U,397735,,0
Intellectual disability-coarse face-macrocephaly-cerebellar hypotrophy syndrome,397709,,0
Joubert syndrome with Jeune asphyxiating thoracic dystrophy,397715,,0
Hereditary isolated aplastic anemia,397692,,0
3q27.3 microdeletion syndrome,397695,,0
Short stature-auditory canal atresia-mandibular hypoplasia-skeletal anomalies syndrome,397623,,0
Familial hyperprolactinemia,397685,,0
Obesity due to CEP19 deficiency,397615,,0
Foveal hypoplasia-optic nerve decussation defect-anterior segment dysgenesis syndrome,397618,,0
Activated PI3K-delta syndrome,397596,,0
Severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency,397593,,0
Macrocephaly-developmental delay syndrome,397612,,0
PrP systemic amyloidosis,397606,,0
Silver-Russell syndrome due to a point mutation,397590,,0
Deep dermatophytosis,397587,,0
"Multiple acyl-CoA dehydrogenase deficiency, mild type",394532,,0
"Multiple acyl-CoA dehydrogenase deficiency, severe neonatal type",394529,,0
Male infertility with teratozoospermia due to single gene mutation,399808,,0
Male infertility with azoospermia or oligozoospermia due to single gene mutation,399805,,0
Epiphysiolysis of the hip,399329,,0
Secondary non-traumatic avascular necrosis,399180,,0
Traumatic avascular necrosis,399175,,0
Idiopathic avascular necrosis,399307,,0
Osteonecrosis of the jaw,399293,,0
Alpha-B crystallin-related late-onset myopathy,399058,,0
Malignant teratoma of ovary,398987,,0
Finnish upper limb-onset distal myopathy,399086,,0
KLHL9-related early-onset distal myopathy,399081,,0
Distal nebulin myopathy,399103,,0
Distal anoctaminopathy,399096,,0
Mucinous adenocarcinoma of ovary,398961,,0
Primary peritoneal serous/papillary carcinoma,398980,,0
Clear cell adenocarcinoma of the ovary,398971,,0
Neonatal lupus erythematosus,398124,,0
Neonatal scleroderma,398127,,0
Persistent idiopathic facial pain,398147,,0
